siren,denominationUniteLegale,activitePrincipaleUniteLegale,categorieEntreprise,libelle_naf
552012031,ROCHE,46.46Z,ETI,Commerce de gros (commerce interentreprises) de produits pharmaceutiques
552016628,AEROPORTS DE PARIS,52.23Z,GE,Services auxiliaires des transports aériens
552025314,COLAS SA,42.11Z,GE,Construction de routes et autoroutes
552027211,TRANSPORTES AEREOS PORTUGUESES,51.10Z,PME,Transports aériens de passagers
552030967,VALEO,64.20Z,GE,Activités des sociétés holding
552032534,DANONE,70.10Z,GE,Activités des sièges sociaux
552037806,VINCI,70.10Z,GE,Activités des sièges sociaux
552040594,EULER HERMES GROUP,66.30Z,GE,Gestion de fonds
552043002,AIR FRANCE - KLM,70.10Z,GE,Activités des sièges sociaux
552044992,POMONA,46.39B,GE,Commerce de gros (commerce interentreprises) alimentaire non spécialisé
552045999,BOUYGUES CONSTRUCTION,42.13A,GE,Construction d'ouvrages d'art
552046484,CDC HABITAT SOCIAL SOCIETE ANONYME D'HABITATIONS A LOYER MODERE,68.20A,GE,Location de logements
552046955,ENGIE ENERGIE SERVICES,35.30Z,GE,Production et distribution de vapeur et d'air conditionné
552049447,SOCIETE NATIONALE SNCF,49.10Z,GE,Transport ferroviaire interurbain de voyageurs
552059024,THALES,70.10Z,GE,Activités des sièges sociaux
552065187,PARFUMS CHRISTIAN DIOR,20.42Z,GE,Fabrication de parfums et de produits pour la toilette
552073785,COMPAGNIE DU CAMBODGE,64.20Z,GE,Activités des sociétés holding
552075020,KERING,70.10Z,GE,Activités des sièges sociaux
552081317,ELECTRICITE DE FRANCE,35.11Z,GE,Production d'électricité
552087835,BODEMER,64.20Z,ETI,Activités des sociétés holding
552088536,CEVA AIR & OCEAN INTERNATIONAL,52.29B,GE,Affrètement et organisation des transports
552091050,ALTAREIT,41.10A,GE,Promotion immobilière de logements
552091795,BRED BANQUE POPULAIRE,64.19Z,GE,Autres intermédiations monétaires
552096281,L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE,78.30Z,GE,Autre mise à disposition de ressources humaines
552100554,PEUGEOT SA,70.10Z,,Activités des sièges sociaux
552111809,KEOLIS SA,70.10Z,GE,Activités des sièges sociaux
552115891,COFIROUTE,52.21Z,GE,Services auxiliaires des transports terrestres
552118465,COMPAGNIE IBM FRANCE,58.29C,GE,Edition de logiciels applicatifs
552119216,UNILEVER FRANCE,46.90Z,GE,Commerce de gros (commerce interentreprises) non spécialisé
552120222,SOCIETE GENERALE,64.19Z,GE,Autres intermédiations monétaires
552141533,IMMOBILIERE 3F,68.20A,GE,Location de logements
552142200,VALLOUREC,70.10Z,ETI,Activités des sièges sociaux
552144503,AUTOMOBILES PEUGEOT,45.11Z,GE,Commerce de voitures et de véhicules automobiles légers
552146854,VERSALIS FRANCE S.A.S.,20.14Z,GE,Fabrication d'autres produits chimiques organiques de base
554500199,TOTALENERGIES PROXI SUD EST,46.71Z,GE,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes
554501171,"CASINO, GUICHARD-PERRACHON",64.20Z,GE,Activités des sociétés holding
557350253,B.S.A,70.10Z,GE,Activités des sièges sociaux
558500187,HOLDING SOPREMA,70.10Z,GE,Activités des sièges sociaux
558501912,ELECTRICITE DE STRASBOURG,70.10Z,GE,Activités des sièges sociaux
562008151,IMERYS,09.90Z,ETI,Activités de soutien aux autres industries extractives
562011742,BRISTOL MYERS SQUIBB,46.46Z,ETI,Commerce de gros (commerce interentreprises) de produits pharmaceutiques
562016774,SIEMENS S.A.S,26.30Z,GE,Fabrication d'équipements de communication
