siren,date_cloture_exercice,annee_exercice,Chiffre_d_affaires,Resultat_net,marge_nette_clean,croissance_CA_clean,segment_CA,type_bilan,periode_analyse_valide,outlier_financier
542097902,2024-12-31,2024,3345000000,-116000000,-0.03467862481315396,-0.07057515976660184,Grande entreprise,K,1,0
562038745,2017-12-31,2017,1746872000,32966000,0.01887144564684762,,Entreprise milliardaire,K,1,0
562038745,2018-12-31,2018,1949106000,51772000,0.026561921209005565,0.11576921491671971,Entreprise milliardaire,K,1,0
562038745,2020-12-31,2020,1958924000,39394000,0.020110019582178788,0.005037181148690733,Entreprise milliardaire,K,1,0
562038745,2022-12-31,2022,2587865000,83018000,0.0320797259517015,0.3210645231770094,Grande entreprise,K,1,0
562038745,2023-12-31,2023,3174132000,83442000,0.026288131684504615,0.2265446613327975,Grande entreprise,K,1,0
562038745,2024-12-31,2024,3161560000,52134,1.6489960652336187e-05,-0.003960767857165361,Grande entreprise,K,1,0
562046151,2022-12-31,2022,1514866794,2967452,0.001958886426023277,,Entreprise milliardaire,C,1,0
562046151,2023-12-31,2023,1298868849,4291759,0.0033042281392029905,-0.14258543777942234,Entreprise milliardaire,C,1,0
562046151,2024-12-31,2024,1021781489,3209315,0.0031409014887722243,-0.21332974473391192,Entreprise milliardaire,C,1,0
572076396,2019-12-31,2019,6883400000,1535300000,0.22304384461167445,,Très grande entreprise,K,1,0
572076396,2020-12-31,2020,6389400000,1389600000,0.21748520987886186,-0.07176685940087747,Très grande entreprise,K,1,0
572076396,2021-12-31,2021,8982000000,0,0.0,0.4057657996055968,Très grande entreprise,K,1,0
572076396,2023-12-31,2023,13427000000,4322000000,0.32188873166008786,0.4948786461812514,Très grande entreprise,K,1,0
572093920,2016-12-31,2016,100193000000,0,0.0,,Très grande entreprise,K,1,0
572093920,2018-12-31,2018,102874000000,-373000000,-0.003625794661430488,0.026758356372201652,Très grande entreprise,K,1,0
572093920,2019-12-31,2019,103532000000,4181000000,0.040383649499671596,0.006396173960378716,Très grande entreprise,K,1,0
572093920,2021-12-31,2021,99931000000,7507000000,0.0751218340655052,-0.03478151682571572,Très grande entreprise,K,1,0
572093920,2022-12-31,2022,102345000000,6856000000,0.06698910547657433,0.024156668100989685,Très grande entreprise,K,1,0
572093920,2023-12-31,2023,83627000000,0,0.0,-0.18289120132883874,Très grande entreprise,K,1,0
582074944,2016-12-31,2016,1492700000,88900000,0.059556508340590876,,Entreprise milliardaire,K,1,0
582074944,2017-12-31,2017,1654200000,203100000,0.12277838229960102,0.10819320694044349,Entreprise milliardaire,K,1,0
582074944,2018-12-31,2018,1771500000,0,0.0,0.07091040986579615,Entreprise milliardaire,K,1,0
582074944,2019-12-31,2019,1522900000,0,0.0,-0.14033305108664973,Entreprise milliardaire,K,1,0
582074944,2021-12-31,2021,1660900000,637000000,0.3835270034318743,-0.8846757394806277,Entreprise milliardaire,K,1,0
582074944,2022-12-31,2022,1815600000,221900000,0.1222185503414849,0.0931422722620266,Entreprise milliardaire,K,1,0
609849153,2016-12-31,2016,2812180671,36741323,0.013065064908128728,,Grande entreprise,C,1,0
609849153,2017-12-31,2017,3101346326,35792336,0.011540902639584794,0.10282612990763992,Grande entreprise,C,1,0
609849153,2018-12-31,2018,3139619284,81786700,0.02604987821829164,0.012340755909503027,Grande entreprise,C,1,0
609849153,2023-12-31,2023,1120337688,53430848,0.047691734886990605,-0.6431612922912598,Entreprise milliardaire,C,1,0
609849153,2024-12-31,2024,1212984387,65654920,0.05412676428785723,0.08269533373048502,Entreprise milliardaire,C,1,0
678200890,2016-12-31,2016,25422178000,-1161575000,-0.045691403781375456,,Très grande entreprise,K,1,0
692014962,2022-12-31,2022,1350555000,23548000,0.017435794913942787,,Entreprise milliardaire,C,1,0
692014962,2023-12-31,2023,1255290000,23542000,0.018754232089795982,-0.07053766784766263,Entreprise milliardaire,C,1,0
692014962,2024-12-31,2024,1183901000,23540000,0.019883419306175095,-0.056870523942674604,Entreprise milliardaire,C,1,0
712019538,2016-12-31,2016,2035572000,118197000,0.0580657427003319,,Grande entreprise,C,1,0
